pressing	AGENT presses ITEM at PLACE
stapling	AGENT staples ITEM onto SURFACE using TOOL at PLACE
installing	AGENT installs COMPONENT into DESTINATION using TOOL at PLACE
blessing	AGENT blesses BLESSED at PLACE
demolished	AGENT demolished UNDERGOER with TOOL at PLACE
snowing	snows at PLACE
destroying	AGENT destroyed DESTROYEDITEM with TOOL at PLACE
rafting	AGENT rafts at PLACE
begging	AGENT begging GIVER for ITEM at PLACE
poking	AGENT poked OBJECT in OBJECTPART using TOOL at PLACE
mixing	AGENT mixes ITEM in CONTAINER using TOOL at PLACE
assembling	AGENT assembles GOALITEM with COMPONENT using TOOL at PLACE
crouching	AGENT crouches at PLACE
attaching	AGENT attaches ITEM to DESTINATION with GLUE using TOOL at PLACE
flaming	AGENT flames at PLACE
wrinkling	AGENT wrinkles AGENTPART at PLACE
flipping	AGENT flips FLIPPED  with TOOL at PLACE
constructing	AGENT constructs CREATEDITEM with TOOL from COMPONENTS at PLACE
recovering	AGENT recovers from AILMENT at PLACE
dissecting	AGENT dissecting ITEM using TOOL at PLACE
carrying	AGENT carries ITEM on AGENTPART at PLACE
wating	AGENT waits at PLACE
drying	AGENT dries ITEM using TOOL at PLACE
voting	AGENT votes for VOTEFOR at PLACE
rehabiliitate	AGENT rehabilitates ITEM at PLACE
drawing	AGENT draws REFERENCE using TOOL at PLACE
grieving	AGENT grieves at PLACE
caressing	AGENT caresses RECIPIENT on the RECIPIENTPART at PLACE
creasing	AGENT creased ITEM at PLACE
fighting	AGENT fights with COAGENT at PLACE
lapping	AGENT laps FOOD from CONTAINER at PLACE
struggling	AGENT struggles with SECOND-PARTICIPANT using TOOL at PLACE
gardening	AGENT gardens with TOOL at PLACE
bugging	AGENT bugs VICTIM with TOOL at PLACE
dipping	AGENT dips ITEM into SUBSTANCE at PLACE
examining	AGENT examines ITEM using TOOL at PLACE
snapping	AGENT snapped Agentpart at PLACE
skiing	AGENT skis at PLACE
sharpening	AGENT sharpens ITEM with TOOL at PLACE
